run_id,stage,axis,level,scenario_key,seed,system,status,fail_reason,divergence_time_s,talk,noise_type,snr_db,ser_db,rt60_target_s,rt60_achieved_echo_s,rt60_achieved_near_s,speaker_mic_distance_m,absorption_calibrated,absorption_sabine_init,filter_length_ms,mu,frame_size,int16_scale,int16_headroom_db,erle_steady_state_db,erle_n_valid_frames,convergence_time_s,converged,segsnr_db,stoi,pesq_wb,lsd_db,misalignment_final_db,audibility_fraction,audibility_excess_db,audibility_n_units,audibility_fraction_traj,audibility_fraction_interp,recon_err_db,recon_err_interp_db,speex_tworun_erle_diff_db,mu_q15,delta_q30,coeff_bits,n_stall_events,stall_first_time_s,n_tap_stalls,n_sat_total,n_sat_y,n_sat_err,n_sat_gain,n_sat_coeff,n_sat_coeff_taps,sat_first_time_s,coeff_div_final_db,coeff_div_steady_db,far_speaker,near_speaker,wall_time_s,git_sha
a.rt60_distance.rt0.2_d2.5.s1.nlms_q15,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,1,nlms_q15,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,200.0,0.5,,37936.493896351254,6.0,11.893718605283837,677,0.0,True,,,,,-11.850376787492253,0.882799892415277,16.816999044120756,14872,0.917764927380312,,-12.359679644816854,,,16384,1074,15,65175,0.297875,678659133,554,0,0,554,0,0,0.00175,-15.140876770019531,-13.558992385864258,7729,1221,11.058,3fc93f4
a.rt60_distance.rt0.2_d2.5.s2.none,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,2,none,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,,,,60323.166509307564,6.0,7.4278313282739055e-06,666,0.12,True,,,,,,0.9365686944634313,27.336625971235964,14630,,,,,,,,,,,,,,,,,,,,,8224,908,0.329,3fc93f4
a.rt60_distance.rt0.2_d2.5.s2.nlms_f64,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,2,nlms_f64,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,200.0,0.5,,60323.166509307564,6.0,33.989359353951386,666,1.2000000000000002,True,,,,,-19.71537556481727,0.6855092276144907,14.778335972980246,14630,0.8358851674641148,0.7641831852358169,-16.75088753973776,-20.365219128295347,,,,,,,,,,,,,,,,,8224,908,5.31,3fc93f4
a.rt60_distance.rt0.2_d2.5.s2.speex,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,2,speex,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,200.0,,160,60323.166509307564,6.0,30.90687867528135,666,5.04,True,,,,,,0.4537935748462064,16.488158465859044,14630,,,,,0.0,,,,,,,,,,,,,,,,8224,908,0.254,3fc93f4
a.rt60_distance.rt0.2_d2.5.s2.nlms_q15,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,2,nlms_q15,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,200.0,0.5,,60323.166509307564,6.0,19.559751583551765,666,1.1600000000000001,True,,,,,-12.814907053107872,0.8737525632262474,18.617088548442318,14630,0.9246753246753247,,-17.77463882064319,,,16384,1074,15,115229,0.487375,709049703,204,0,0,204,0,0,0.0015,-15.32396125793457,-15.026093482971191,8224,908,11.424,3fc93f4
a.rt60_distance.rt0.4_d0.3.s0.none,a,rt60_distance,rt0.4_d0.3,rt0.4_d0.3_far_single_none_ser0,0,none,ok,,,far_single,none,,0.0,0.4,0.4071691693204404,0.4092831603055453,0.3,0.2892335967565872,0.25709653045029973,,,,14538.084474390864,6.0,-3.102593061484793e-05,672,0.48,True,,,,,,0.987535564286682,39.92823628799626,14762,,,,,,,,,,,,,,,,,,,,,260,61,0.454,3fc93f4
a.rt60_distance.rt0.4_d0.3.s0.nlms_f64,a,rt60_distance,rt0.4_d0.3,rt0.4_d0.3_far_single_none_ser0,0,nlms_f64,ok,,,far_single,none,,0.0,0.4,0.4071691693204404,0.4092831603055453,0.3,0.2892335967565872,0.25709653045029973,200.0,0.5,,14538.084474390864,6.0,27.454133986573787,672,3.8200000000000003,True,,,,,-16.295204401667995,0.9040780382062051,22.357738282144247,14762,0.9504809646389378,0.922910174773066,-17.830113863793553,-22.927420387489462,,,,,,,,,,,,,,,,,260,61,5.189,3fc93f4
a.rt60_distance.rt0.4_d0.3.s0.speex,a,rt60_distance,rt0.4_d0.3,rt0.4_d0.3_far_single_none_ser0,0,speex,ok,,,far_single,none,,0.0,0.4,0.4071691693204404,0.4092831603055453,0.3,0.2892335967565872,0.25709653045029973,200.0,,160,14538.084474390864,6.0,27.61481900726161,672,5.62,True,,,,,,0.9202005148353881,24.039085443543723,14762,,,,,0.0,,,,,,,,,,,,,,,,260,61,0.24,3fc93f4
a.rt60_distance.rt0.4_d0.3.s0.nlms_q15,a,rt60_distance,rt0.4_d0.3,rt0.4_d0.3_far_single_none_ser0,0,nlms_q15,ok,,,far_single,none,,0.0,0.4,0.4071691693204404,0.4092831603055453,0.3,0.2892335967565872,0.25709653045029973,200.0,0.5,,14538.084474390864,6.0,12.433382641057303,672,0.0,True,,,,,-1.8198473476350674,0.973784040102967,29.754641113611655,14762,0.9830646253895137,,-16.67323093103256,,,16384,1074,15,29219,0.23825,486330958,32730,0,0,6957,25773,33605,0.000125,-2.443962812423706,-3.1366426944732666,260,61,11.03,3fc93f4
a.rt60_distance.rt0.4_d0.3.s1.none,a,rt60_distance,rt0.4_d0.3,rt0.4_d0.3_far_single_none_ser0,1,none,ok,,,far_single,none,,0.0,0.4,0.4071691693204404,0.4092831603055453,0.3,0.2892335967565872,0.25709653045029973,,,,10239.963090022613,6.0,-6.302775432471893e-05,699,0.0,True,,,,,,1.0,38.4484166542803,15356,,,,,,,,,,,,,,,,,,,,,7729,1221,0.332,3fc93f4
